Country,Year,Series,Value
Eastern Asia,2010,"Infant mortality for both sexes (per 1,000 live births)",16.8946
Eastern Asia,2010,"Maternal mortality ratio (deaths per 100,000 population)",36
Eastern Asia,2010,Life expectancy at birth for both sexes (years),74.8926
Eastern Asia,2010,Life expectancy at birth for males (years),72.7178
Eastern Asia,2010,Life expectancy at birth for females (years),77.2424
Eastern Asia,2015,Population annual rate of increase (percent),0.496
Eastern Asia,2015,Total fertility rate (children per women),1.6256
Eastern Asia,2015,"Infant mortality for both sexes (per 1,000 live births)",11.5423
Eastern Asia,2015,"Maternal mortality ratio (deaths per 100,000 population)",27
Eastern Asia,2015,Life expectancy at birth for both sexes (years),76.3383
Eastern Asia,2015,Life expectancy at birth for males (years),73.9437
Eastern Asia,2015,Life expectancy at birth for females (years),78.94
South-central Asia,2005,Population annual rate of increase (percent),1.712
South-central Asia,2005,Total fertility rate (children per women),3.2095
South-central Asia,2005,"Infant mortality for both sexes (per 1,000 live births)",61.1149
South-central Asia,2005,Life expectancy at birth for both sexes (years),63.9964
South-central Asia,2005,Life expectancy at birth for males (years),63.0039
South-central Asia,2005,Life expectancy at birth for females (years),65.0698
South-central Asia,2010,Population annual rate of increase (percent),1.5
South-central Asia,2010,Total fertility rate (children per women),2.8709
South-central Asia,2010,"Infant mortality for both sexes (per 1,000 live births)",51.1278
South-central Asia,2010,Life expectancy at birth for both sexes (years),65.9192
South-central Asia,2010,Life expectancy at birth for males (years),64.8415
South-central Asia,2010,Life expectancy at birth for females (years),67.0817
South-central Asia,2015,Population annual rate of increase (percent),1.318
South-central Asia,2015,Total fertility rate (children per women),2.5404
South-central Asia,2015,"Infant mortality for both sexes (per 1,000 live births)",41.6814
South-central Asia,2015,Life expectancy at birth for both sexes (years),68.0401
South-central Asia,2015,Life expectancy at birth for males (years),66.7955
South-central Asia,2015,Life expectancy at birth for females (years),69.3835
South-eastern Asia,2005,Population annual rate of increase (percent),1.332
South-eastern Asia,2005,Total fertility rate (children per women),2.5262
South-eastern Asia,2005,"Infant mortality for both sexes (per 1,000 live births)",34.2523
South-eastern Asia,2005,"Maternal mortality ratio (deaths per 100,000 population)",166
South-eastern Asia,2005,Life expectancy at birth for both sexes (years),67.9066
South-eastern Asia,2005,Life expectancy at birth for males (years),65.2529
South-eastern Asia,2005,Life expectancy at birth for females (years),70.6142
South-eastern Asia,2010,Population annual rate of increase (percent),1.237
South-eastern Asia,2010,Total fertility rate (children per women),2.4188
South-eastern Asia,2010,"Infant mortality for both sexes (per 1,000 live births)",28.5624
South-eastern Asia,2010,"Maternal mortality ratio (deaths per 100,000 population)",136
South-eastern Asia,2010,Life expectancy at birth for both sexes (years),69.622
South-eastern Asia,2010,Life expectancy at birth for males (years),66.8158
South-eastern Asia,2010,Life expectancy at birth for females (years),72.5016
South-eastern Asia,2015,Population annual rate of increase (percent),1.214
South-eastern Asia,2015,Total fertility rate (children per women),2.3409
South-eastern Asia,2015,"Infant mortality for both sexes (per 1,000 live births)",23.9945
South-eastern Asia,2015,"Maternal mortality ratio (deaths per 100,000 population)",110
South-eastern Asia,2015,Life expectancy at birth for both sexes (years),71.1723
South-eastern Asia,2015,Life expectancy at birth for males (years),68.2019
South-eastern Asia,2015,Life expectancy at birth for females (years),74.2502
Southern Asia,2005,Population annual rate of increase (percent),1.736
Southern Asia,2005,Total fertility rate (children per women),3.2369
Southern Asia,2005,"Infant mortality for both sexes (per 1,000 live births)",61.5375
Southern Asia,2005,"Maternal mortality ratio (deaths per 100,000 population)",288
Southern Asia,2005,Life expectancy at birth for both sexes (years),63.9448
Southern Asia,2005,Life expectancy at birth for males (years),63.0627
Southern Asia,2005,Life expectancy at birth for females (years),64.9014
Southern Asia,2010,Population annual rate of increase (percent),1.502
Southern Asia,2010,Total fertility rate (children per women),2.8794
Southern Asia,2010,"Infant mortality for both sexes (per 1,000 live births)",51.6565
Southern Asia,2010,"Maternal mortality ratio (deaths per 100,000 population)",221
Southern Asia,2010,Life expectancy at birth for both sexes (years),65.8665
Southern Asia,2010,Life expectancy at birth for males (years),64.8912
Southern Asia,2010,Life expectancy at birth for females (years),66.9212
Southern Asia,2015,Population annual rate of increase (percent),1.303
Southern Asia,2015,Total fertility rate (children per women),2.5317
Southern Asia,2015,"Infant mortality for both sexes (per 1,000 live births)",42.3523
Southern Asia,2015,"Maternal mortality ratio (deaths per 100,000 population)",176
Southern Asia,2015,Life expectancy at birth for both sexes (years),67.9815
Southern Asia,2015,Life expectancy at birth for males (years),66.8115
Southern Asia,2015,Life expectancy at birth for females (years),69.248
Western Asia,2005,Population annual rate of increase (percent),2.156
Western Asia,2005,Total fertility rate (children per women),3.2447
Western Asia,2005,"Infant mortality for both sexes (per 1,000 live births)",29.5284
Western Asia,2005,"Maternal mortality ratio (deaths per 100,000 population)",110
Western Asia,2005,Life expectancy at birth for both sexes (years),70.9287
Western Asia,2005,Life expectancy at birth for males (years),68.4166
Western Asia,2005,Life expectancy at birth for females (years),73.5873
Western Asia,2010,Population annual rate of increase (percent),2.456
Western Asia,2010,Total fertility rate (children per women),3.0292
Western Asia,2010,"Infant mortality for both sexes (per 1,000 live births)",23.3818
Western Asia,2010,"Maternal mortality ratio (deaths per 100,000 population)",96
Western Asia,2010,Life expectancy at birth for both sexes (years),72.2965
Western Asia,2010,Life expectancy at birth for males (years),69.6338
Western Asia,2010,Life expectancy at birth for females (years),75.1757
Western Asia,2015,Population annual rate of increase (percent),2.061
Western Asia,2015,Total fertility rate (children per women),2.8592
Western Asia,2015,"Infant mortality for both sexes (per 1,000 live births)",20.5367
Western Asia,2015,"Maternal mortality ratio (deaths per 100,000 population)",91
Western Asia,2015,Life expectancy at birth for both sexes (years),73.4104
Western Asia,2015,Life expectancy at birth for males (years),70.7545
Western Asia,2015,Life expectancy at birth for females (years),76.2865
Europe,2005,Population annual rate of increase (percent),0.103
Europe,2005,Total fertility rate (children per women),1.4325
Europe,2005,"Infant mortality for both sexes (per 1,000 live births)",8.2859
Europe,2005,Life expectancy at birth for both sexes (years),73.7986
Europe,2005,Life expectancy at birth for males (years),69.6052
Europe,2005,Life expectancy at birth for females (years),78.0769
Europe,2010,Population annual rate of increase (percent),0.194
Europe,2010,Total fertility rate (children per women),1.5572
Europe,2010,"Infant mortality for both sexes (per 1,000 live births)",6.433
Europe,2010,Life expectancy at birth for both sexes (years),75.2966
Europe,2010,Life expectancy at birth for males (years),71.321
Europe,2010,Life expectancy at birth for females (years),79.3026
Europe,2015,Population annual rate of increase (percent),0.18
Europe,2015,Total fertility rate (children per women),1.6009
Europe,2015,"Infant mortality for both sexes (per 1,000 live births)",5.255
Europe,2015,Life expectancy at birth for both sexes (years),77.1826
Europe,2015,Life expectancy at birth for males (years),73.6032
Europe,2015,Life expectancy at birth for females (years),80.7074
Eastern Europe,2005,Population annual rate of increase (percent),-0.427
Eastern Europe,2005,Total fertility rate (children per women),1.2598
Eastern Europe,2005,"Infant mortality for both sexes (per 1,000 live births)",13.7653
Eastern Europe,2005,Life expectancy at birth for both sexes (years),67.9097
Eastern Europe,2005,Life expectancy at birth for males (years),62.4163
Eastern Europe,2005,Life expectancy at birth for females (years),73.78
Eastern Europe,2010,Population annual rate of increase (percent),-0.177
Eastern Europe,2010,Total fertility rate (children per women),1.4331
Eastern Europe,2010,"Infant mortality for both sexes (per 1,000 live births)",9.8455
Eastern Europe,2010,Life expectancy at birth for both sexes (years),69.5172
Eastern Europe,2010,Life expectancy at birth for males (years),64.1346
Eastern Europe,2010,Life expectancy at birth for females (years),75.12
Eastern Europe,2015,Population annual rate of increase (percent),-0.033
Eastern Europe,2015,Total fertility rate (children per women),1.5732
Eastern Europe,2015,"Infant mortality for both sexes (per 1,000 live births)",7.55
Eastern Europe,2015,Life expectancy at birth for both sexes (years),72.185
Eastern Europe,2015,Life expectancy at birth for males (years),67.2141
Eastern Europe,2015,Life expectancy at birth for females (years),77.1087
Northern Europe,2005,Population annual rate of increase (percent),0.389
Northern Europe,2005,Total fertility rate (children per women),1.6608
Northern Europe,2005,"Infant mortality for both sexes (per 1,000 live births)",5.0466
Northern Europe,2005,Life expectancy at birth for both sexes (years),77.9295
Northern Europe,2005,Life expectancy at birth for males (years),75.2343
Northern Europe,2005,Life expectancy at birth for females (years),80.5383
Northern Europe,2010,Population annual rate of increase (percent),0.832
Northern Europe,2010,Total fertility rate (children per women),1.8465
Northern Europe,2010,"Infant mortality for both sexes (per 1,000 live births)",4.3951
Northern Europe,2010,Life expectancy at birth for both sexes (years),79.1604
Northern Europe,2010,Life expectancy at birth for males (years),76.6403
Northern Europe,2010,Life expectancy at birth for females (years),81.6004
Northern Europe,2015,Population annual rate of increase (percent),0.612
Northern Europe,2015,Total fertility rate (children per women),1.8408
Northern Europe,2015,"Infant mortality for both sexes (per 1,000 live births)",3.6887
Northern Europe,2015,Life expectancy at birth for both sexes (years),80.472
Northern Europe,2015,Life expectancy at birth for males (years),78.2501
Northern Europe,2015,Life expectancy at birth for females (years),82.6272
Southern Europe,2005,Population annual rate of increase (percent),0.656
Southern Europe,2005,Total fertility rate (children per women),1.3701
Southern Europe,2005,"Infant mortality for both sexes (per 1,000 live births)",5.4828
Southern Europe,2005,Life expectancy at birth for both sexes (years),78.7501
Southern Europe,2005,Life expectancy at birth for males (years),75.6337
Southern Europe,2005,Life expectancy at birth for females (years),81.798
Southern Europe,2010,Population annual rate of increase (percent),0.441
Southern Europe,2010,Total fertility rate (children per women),1.467
Southern Europe,2010,"Infant mortality for both sexes (per 1,000 live births)",4.2854
Southern Europe,2010,Life expectancy at birth for both sexes (years),80.0257
Southern Europe,2010,Life expectancy at birth for males (years),77.1066
Southern Europe,2010,Life expectancy at birth for females (years),82.8705
Southern Europe,2015,Population annual rate of increase (percent),0.006
Southern Europe,2015,Total fertility rate (children per women),1.4045
Southern Europe,2015,"Infant mortality for both sexes (per 1,000 live births)",3.5687
Southern Europe,2015,Life expectancy at birth for both sexes (years),81.1568
Southern Europe,2015,Life expectancy at birth for males (years),78.4677
Southern Europe,2015,Life expectancy at birth for females (years),83.7521
Western Europe,2005,Population annual rate of increase (percent),0.377
